neotoma_names,is_plant
Silene,TRUE
Cornus suecica (thick wall),TRUE
Ericaceae cf. Calluna,TRUE
Euphorbiaceae cf. Mercurialis,TRUE
Onagraceae cf. Epilobium,TRUE
Rubus cf. R. idaeus,TRUE
Anagallis cf. A. arvensis,TRUE
Anagallis cf. A. tenella,TRUE
Cannabaceae,TRUE
Centaurea cyanus-type,TRUE
Centaurea nigra-type,TRUE
Diapensia lapponica,TRUE
Polygonum cf. P. aviculare,TRUE
Primula farinosa,TRUE
Rumex cf. R. longifolius,TRUE
"Alnus (shrub, pale shallow pores)",TRUE
"Alnus (tree, robust deep pores)",TRUE
Betula (hybrid),TRUE
Betula (tree),TRUE
Cannabaceae cf. Cannabis sativa,TRUE
Centaurea cf. C. cyanus,TRUE
Micranthes cf. M. stellaris,TRUE
Plantago cf. P. coronopus,TRUE
Saxifraga cf. S. oppositifolia,TRUE
Saxifraga granulata-type,TRUE
Spergularia,TRUE
Anagallis arvensis,TRUE
Corylus avellana-type,TRUE
Jasione montana,TRUE
Vicia sylvatica-type,TRUE
Alnus glutinosa-type,TRUE
Anthriscus sylvestris-type,TRUE
Bidens,TRUE
Chaerophyllum hirsutum-type,TRUE
Dipsacus,TRUE
Lonicera xylosteum,TRUE
Phyteuma,TRUE
Pimpinella major-type,TRUE
Ranunculus arvensis,TRUE
Rumex obtusifolius-type,TRUE
Vicia cracca-type,TRUE
Carduus,TRUE
Carum carvi,TRUE
Chamaenerion angustifolium-type,TRUE
Daucus,TRUE
Polygonatum,TRUE
Sanicula europaea,TRUE
Viburnum lantana,TRUE
Gagea,TRUE
Knautia,TRUE
Pinus cembra-type,TRUE
Plantago sp.,TRUE
Pulmonaria,TRUE
Symphytum,TRUE
Fallopia,TRUE
Gypsophila repens-type,TRUE
Koenigia alpina,TRUE
Montia,TRUE
Papaveraceae,TRUE
Plantago major-type,TRUE
Pleurospermum austriacum,TRUE
Scleranthus annuus,TRUE
Soldanella,TRUE
Valeriana dioica-type,TRUE
Plantago media-type,TRUE
Centaurea stoebe-type,TRUE
Galeopsis,TRUE
Gentiana asclepiadea-type,TRUE
Lysimachia vulgaris,TRUE
Oxalis,TRUE
Ribes cf. R. alpinum,TRUE
Sambucus cf. S. ebulus,TRUE
Valeriana dioica subsp. simplicifolia,TRUE
Valeriana dioica subsp. simplicifolia,TRUE
Veratrum,TRUE
Viola arvensis-type,TRUE
Lysimachia nemorum,TRUE
Pinguicula vulgaris,TRUE
Helianthemum nummularium-type,TRUE
Helianthemum oelandicum subsp. alpestris-type,TRUE
Paradisea liliastrum,TRUE
Pinus cembra,TRUE
