taxon_name,level_1
cayratia_type,cayratia_type
cecropia,cecropia
cedrus,cedrus
cedrus_atlantica,cedrus_atlantica
cedrus_cf_c_atlantica,cedrus_cf_c_atlantica
ceiba,ceiba
ceiba_pentandra,ceiba_pentandra
celastraceae,celastraceae
celastraceae_undiff,celastraceae_undiff
celosia,celosia
celosia_argentea,celosia_argentea
celosia_argentea_type,celosia_argentea_type
celosia_schweinfurthiana_type,celosia_schweinfurthiana_type
celosia_trigyna,celosia_trigyna
celosia_trigyna_type,celosia_trigyna_type
celosia_type,celosia_type
celosia_type_argentea,celosia_type_argentea
celosia_type_c_trigyna,celosia_type_c_trigyna
celosia_type_trigyna,celosia_type_trigyna
celtis,celtis
celtis_adolfi_minus_friderici_type,celtis_adolfi_minus_friderici_type
celtis_africana_type,celtis_africana_type
celtis_holoptelea_tetraporate,celtis_holoptelea_tetraporate
celtis_hymenocardia,celtis_hymenocardia
celtis_smaller_than_15_mu_m,celtis_smaller_than_15_mu_m
celtis_toka,celtis_toka
celtis_type_20mu_m,celtis_type_20mu_m
centaurea,centaurea
centaurea_cyanus,centaurea_cyanus
centaurea_cyanus_type,centaurea_cyanus_type
centaurea_jacea_type,centaurea_jacea_type
centaurea_perrottetii,centaurea_perrottetii
centaurea_sinaica_type,centaurea_sinaica_type
centaurea_type,centaurea_type
centaurea_type_c_perrottetii,centaurea_type_c_perrottetii
centaurea_type_senegalensis,centaurea_type_senegalensis
centaurium_pulchellum,centaurium_pulchellum
centemopsis_type_gracilenta,centemopsis_type_gracilenta
centranthus,centranthus
cephalaria,cephalaria
cerastium,cerastium
cerastium_afromontanum_type,cerastium_afromontanum_type
cerastium_indicum,cerastium_indicum
cerastium_octandrum,cerastium_octandrum
cerastium_octandrum_type,cerastium_octandrum_type
cerastium_type,cerastium_type
cerastium_type_c_octandrum,cerastium_type_c_octandrum
cerastium_type_octandrum,cerastium_type_octandrum
cercestis_congoensis,cercestis_congoensis
cf_adenocarpus,cf_adenocarpus
cf_aeonium,cf_aeonium
cf_albizia,cf_albizia
cf_badula,cf_badula
cf_balanites,cf_balanites
cf_boscia,cf_boscia
cf_cadaba,cf_cadaba
cf_canarium,cf_canarium
cf_capparis,cf_capparis
cf_casuarina_equisetifolia,cf_casuarina_equisetifolia
cf_cleome,cf_cleome
cf_dialium,cf_dialium
cf_erythroxylum,cf_erythroxylum
cf_flacourtia,cf_flacourtia
cf_leonardoxa,cf_leonardoxa
cf_linum,cf_linum
cf_ochna,cf_ochna
cf_onagraceae_type,cf_onagraceae_type
cf_polygonum,cf_polygonum
cf_resedaceae,cf_resedaceae
cf_rhizophora,cf_rhizophora
cf_rorippa,cf_rorippa
cf_scolopia,cf_scolopia
cf_scrophulariaceae,cf_scrophulariaceae
cf_stadmania,cf_stadmania
cf_tabernaemontana,cf_tabernaemontana
cf_thalictrum_type,cf_thalictrum_type
cf_zanthoxylum,cf_zanthoxylum
chaetachme,chaetachme
chaetachme_aristata,chaetachme_aristata
chamaecrista_type_mimosoides,chamaecrista_type_mimosoides
chassalia,chassalia
chenopodiaceae_sensu_stricto,chenopodiaceae_sensu_stricto
chenopodium,chenopodium
chenopodium_amaranthus,chenopodium_amaranthus
chenopodium_type,chenopodium_type
chironia,chironia
chlorophytum,chlorophytum
chlorophytum_type,chlorophytum_type
chrozophora,chrozophora
chrozophora_brocchiana_type,chrozophora_brocchiana_type
chrozophora_tinctoria,chrozophora_tinctoria
chrysobalanus_parinari,chrysobalanus_parinari
chrysobalanus_type,chrysobalanus_type
chrysophyllum,chrysophyllum
chrysophyllum_bangweolense_type,chrysophyllum_bangweolense_type
cichorieae,cichorieae
cichorieae_undiff,cichorieae_undiff
cichorioideae,cichorioideae
cichorioideae_type,cichorioideae_type
cirsium_type,cirsium_type
cissampelos,cissampelos
cissampelos_cf_c_mucronata,cissampelos_cf_c_mucronata
cissampelos_mucronata_type,cissampelos_mucronata_type
cissampelos_type,cissampelos_type
cissampelos_type_mucronata,cissampelos_type_mucronata
cissus,cissus
cissus_quadrangularis_type,cissus_quadrangularis_type
cissus_type,cissus_type
cissus_type_quadrangularis,cissus_type_quadrangularis
cistaceae,cistaceae
cistanche,cistanche
cistus,cistus
cistus_monspeliensis,cistus_monspeliensis
citrullus,citrullus
citrus,citrus
clausena,clausena
clausena_anisata,clausena_anisata
clausena_type_anisata,clausena_type_anisata
cleistanthus,cleistanthus
cleistanthus_type,cleistanthus_type
cleistanthus_type_libericus,cleistanthus_type_libericus
cleistanthus_type_polystachyus,cleistanthus_type_polystachyus
clematis,clematis
clematis_mauritiana_type,clematis_mauritiana_type
clematis_type,clematis_type
cleome,cleome
cleome_gynandra,cleome_gynandra
cleome_type,cleome_type
cleome_type_gynandra,cleome_type_gynandra
clerodendrum,clerodendrum
cliffortia,cliffortia
cliffortia_nitidula,cliffortia_nitidula
cliffortia_nitidula_type,cliffortia_nitidula_type
clinopodium_paradoxum,clinopodium_paradoxum
clitandra,clitandra
clusiaceae,clusiaceae
clutia,clutia
clutia_abyssinica,clutia_abyssinica
clutia_type,clutia_type
cnestis,cnestis
cnestis_type,cnestis_type
coccinia,coccinia
coccinia_type,coccinia_type
coccinia_type_grandis,coccinia_type_grandis
cocculus,cocculus
cocculus_hirsutus_type,cocculus_hirsutus_type
cocculus_pendulus,cocculus_pendulus
cocculus_pendulus_type,cocculus_pendulus_type
cocculus_type,cocculus_type
cocculus_type_hirsutus,cocculus_type_hirsutus
cochlospermum,cochlospermum
cocos_nucifera,cocos_nucifera
coffea,coffea
coffea_type,coffea_type
cola,cola
cola_cf_c_cordifolia,cola_cf_c_cordifolia
coleus_type_otostegioides,coleus_type_otostegioides
colophospermum_mopane,colophospermum_mopane
combretaceae,combretaceae
combretaceae_melastomataceae,combretaceae_melastomataceae
combretaceae_melastomataceae_undiff,combretaceae_melastomataceae_undiff
combretaceae_type,combretaceae_type
combretaceae_undiff,combretaceae_undiff
combretum,combretum
combretum_aculeatum_type,combretum_aculeatum_type
combretum_molle_type,combretum_molle_type
combretum_type,combretum_type
combretum_type_aculeatum,combretum_type_aculeatum
combretum_type_c_molle,combretum_type_c_molle
combretum_type_molle,combretum_type_molle
commelina,commelina
commelina_benghalensis,commelina_benghalensis
commelina_benghalensis_type,commelina_benghalensis_type
commelina_forskaolii,commelina_forskaolii
commelina_forskaolii_type,commelina_forskaolii_type
commelina_type,commelina_type
commelina_type_benghalensis,commelina_type_benghalensis
commelina_type_c_benghalensis,commelina_type_c_benghalensis
commelina_type_capitata,commelina_type_capitata
commelina_type_forsskaolii,commelina_type_forsskaolii
commelinaceae,commelinaceae
commelinaceae_undiff,commelinaceae_undiff
commicarpus,commicarpus
commicarpus_type,commicarpus_type
commiphora,commiphora
commiphora_africana,commiphora_africana
commiphora_africana_type,commiphora_africana_type
commiphora_edulis_subsp_boiviniana_type,commiphora_edulis_subsp_boiviniana_type
commiphora_edulis_type,commiphora_edulis_type
commiphora_type,commiphora_type
connaraceae,connaraceae
connarus_type,connarus_type
convolvulaceae,convolvulaceae
convolvulaceae_malvaceae,convolvulaceae_malvaceae
convolvulaceae_undiff,convolvulaceae_undiff
convolvulus,convolvulus
convolvulus_arvensis_type,convolvulus_arvensis_type
convolvulus_type,convolvulus_type
coptosperma_type_c_graveolens,coptosperma_type_c_graveolens
coptosperma_type_graveolens,coptosperma_type_graveolens
corchorus,corchorus
corchorus_olitorius,corchorus_olitorius
corchorus_type,corchorus_type
corchorus_type_fascicularis,corchorus_type_fascicularis
cordia,cordia
cordia_africana_type,cordia_africana_type
cordia_bourreria_type,cordia_bourreria_type
cordia_hilsenbergia_type,cordia_hilsenbergia_type
cordia_platythyrsa_type,cordia_platythyrsa_type
cordia_type,cordia_type
cornulaca,cornulaca
cornulaca_aerva,cornulaca_aerva
cornulaca_type,cornulaca_type
cornus_subg_afrocrania,cornus_subg_afrocrania
cornus_volkensii,cornus_volkensii
coronilla_type,coronilla_type
corylus,corylus
corylus_avellana,corylus_avellana
cotula,cotula
coula_edulis,coula_edulis
crassocephalum,crassocephalum
crassocephalum_montuosum_type,crassocephalum_montuosum_type
crassocephalum_type_c_montuosum,crassocephalum_type_c_montuosum
crassocephalum_type_montuosum,crassocephalum_type_montuosum
crassula,crassula
crassulaceae,crassulaceae
craterispermum,craterispermum
craterispermum_type,craterispermum_type
crateva_adansonii,crateva_adansonii
crateva_type_adansonii,crateva_type_adansonii
crepis_type,crepis_type
cressa,cressa
cressa_type,cressa_type
cressa_type_c_cretica,cressa_type_c_cretica
crinum_natans_type,crinum_natans_type
crinum_type,crinum_type
crossopteryx_febrifuga,crossopteryx_febrifuga
crossopteryx_type,crossopteryx_type
crossopteryx_type_febrifuga,crossopteryx_type_febrifuga
crotalaria,crotalaria
crotalaria_type,crotalaria_type
croton,croton
croton_fianarantsoae,croton_fianarantsoae
croton_macrobuxus,croton_macrobuxus
croton_neoboutonia,croton_neoboutonia
croton_type,croton_type
crudia,crudia
crudia_type,crudia_type
crudia_type_c_zenkeri,crudia_type_c_zenkeri
crudia_type_gabonensis,crudia_type_gabonensis
cucumis,cucumis
cucumis_dipsaceus_type,cucumis_dipsaceus_type
cucumis_type_dipsaceus,cucumis_type_dipsaceus
cucurbitaceae,cucurbitaceae
cucurbitaceae_undiff,cucurbitaceae_undiff
culcasia_scandens,culcasia_scandens
cunoniaceae,cunoniaceae
cupressaceae,cupressaceae
cupressaceae_undiff,cupressaceae_undiff
cupressus,cupressus
cupressus_lusitanica,cupressus_lusitanica
cuscuta,cuscuta
cuscuta_type,cuscuta_type
cussonia,cussonia
cussonia_arborea_type,cussonia_arborea_type
cussonia_schefflera,cussonia_schefflera
cussonia_type,cussonia_type
cyathula,cyathula
cyathula_type,cyathula_type
cyathula_type_c_orthacantha,cyathula_type_c_orthacantha
cyathula_type_orthacantha,cyathula_type_orthacantha
cylicodiscus,cylicodiscus
cynoglossum,cynoglossum
cynoglossum_type,cynoglossum_type
cynometra,cynometra
cynometra_type,cynometra_type
cyperaceae,cyperaceae
cyperaceae_undiff,cyperaceae_undiff
cyphostemma_mappia,cyphostemma_mappia
cyphostemma_type,cyphostemma_type
cyphostemma_type_c_cyphopetalum,cyphostemma_type_c_cyphopetalum
cyphostemma_type_cyphopetalum,cyphostemma_type_cyphopetalum
cytisus_type,cytisus_type
dacryodes_type,dacryodes_type
dalbergia,dalbergia
dalbergia_type,dalbergia_type
dalechampia,dalechampia
daniellia_pynaertii_type,daniellia_pynaertii_type
daphne,daphne
daphne_gnidium,daphne_gnidium
daucus,daucus
delonix_elata,delonix_elata
dendrosenecio,dendrosenecio
desmodium,desmodium
desmodium_adscendens_type,desmodium_adscendens_type
desmodium_type,desmodium_type
detarium,detarium
dialium,dialium
dialium_guineense,dialium_guineense
dichondra_type_d_micrantha,dichondra_type_d_micrantha
dichondra_type_micrantha,dichondra_type_micrantha
dichrostachys,dichrostachys
dichrostachys_cinerea,dichrostachys_cinerea
dichrostachys_cinerea_type,dichrostachys_cinerea_type
dicliptera_type,dicliptera_type
dicoma_type,dicoma_type
dictyosperma_type,dictyosperma_type
didelotia_type,didelotia_type
digera_type_muricata,digera_type_muricata
diodia,diodia
dioscorea,dioscorea
dioscoreaceae,dioscoreaceae
diospyros,diospyros
diospyros_mauritius_type_326_de_boer,diospyros_mauritius_type_326_de_boer
diospyros_mauritius_type_363_de_boer,diospyros_mauritius_type_363_de_boer
diospyros_type,diospyros_type
dipsacaceae_undiff,dipsacaceae_undiff
dipsacoideae,dipsacoideae
dipsacoideae_undiff,dipsacoideae_undiff
dipsacus,dipsacus
dipterocarpaceae,dipterocarpaceae
dipterocarpaceae_undiff,dipterocarpaceae_undiff
dipterygium,dipterygium
disperma_type,disperma_type
dissotis,dissotis
dissotis_type,dissotis_type
distemonanthus_benthamianus,distemonanthus_benthamianus
dobera,dobera
dodonaea,dodonaea
dodonaea_mauritius_type_128_de_boer,dodonaea_mauritius_type_128_de_boer
dodonaea_mauritius_type_167_de_boer,dodonaea_mauritius_type_167_de_boer
dodonaea_type,dodonaea_type
dodonaea_viscosa,dodonaea_viscosa
dodonaea_viscosa_type,dodonaea_viscosa_type
dodonaea_viscosa_var_angustifolia,dodonaea_viscosa_var_angustifolia
dodonaeoideae,dodonaeoideae
dolichos,dolichos
dolichos_type,dolichos_type
doliocarpus_type,doliocarpus_type
dombeya,dombeya
dombeya_cf_d_buetnerii,dombeya_cf_d_buetnerii
dombeya_elliptica_type,dombeya_elliptica_type
dombeya_type,dombeya_type
dorstenia,dorstenia
dorstenia_kameruniana,dorstenia_kameruniana
dorstenia_type,dorstenia_type
dorstenia_type_scaphigera,dorstenia_type_scaphigera
dorstenia_zanzibarica_type,dorstenia_zanzibarica_type
dovyalis,dovyalis
dracaena,dracaena
dracaena_afromontana_type,dracaena_afromontana_type
dracaena_steudneri,dracaena_steudneri
dracaena_steudneri_type,dracaena_steudneri_type
dracaena_type,dracaena_type
drimiopsis,drimiopsis
droseraceae,droseraceae
droseraceae_undiff,droseraceae_undiff
drymaria_cordata,drymaria_cordata
drypetes,drypetes
