taxa,dataset_id,BIN,summed_pollen_count
Tilia,1002,19,33
Tilia,1002,20,1
Tilia,1002,21,70
Tsuga,1002,1,152
Tsuga,1002,2,15
Tsuga,1002,3,18
Tsuga,1002,11,103
Tsuga,1002,13,92
Tsuga,1002,14,37
Tsuga,1002,15,142
Tsuga,1002,16,234
Tsuga,1002,17,290
Tsuga,1002,18,590
Tsuga,1002,19,65
Tsuga,1002,20,57
Tsuga,1002,21,130
Ulmus,1002,1,585
Ulmus,1002,2,163
Ulmus,1002,3,61
Ulmus,1002,11,551
Ulmus,1002,13,732
Ulmus,1002,14,631
Ulmus,1002,15,585
Ulmus,1002,16,592
Ulmus,1002,17,800
Ulmus,1002,18,1509
Ulmus,1002,19,416
Ulmus,1002,20,630
Ulmus,1002,21,617
Viburnum,1002,1,0
Viburnum,1002,2,0
Viburnum,1002,3,0
Viburnum,1002,11,0
Viburnum,1002,13,1
Viburnum,1002,14,0
Viburnum,1002,15,0
Viburnum,1002,16,0
Viburnum,1002,17,0
Viburnum,1002,18,0
Viburnum,1002,19,0
Viburnum,1002,20,0
Viburnum,1002,21,0
Alnus incana,1003,1,5
Alnus incana,1003,2,31
Alnus incana,1003,3,36
Alnus incana,1003,4,2
Alnus incana,1003,5,1
Alnus incana,1003,6,0
Alnus incana,1003,7,1
Alnus incana,1003,8,0
Alnus incana,1003,9,3
Alnus incana,1003,10,1
Alnus incana,1003,11,0
Alnus incana,1003,13,0
Alnus incana,1003,14,3
Alnus incana,1003,15,18
Alnus incana,1003,16,4
Alnus incana,1003,17,7
Alnus incana,1003,18,16
Alnus incana,1003,19,24
Alnus incana,1003,20,22
Alnus incana,1003,21,8
Alnus viridis,1003,1,1054
Alnus viridis,1003,2,78
Alnus viridis,1003,3,26
Alnus viridis,1003,4,28
Alnus viridis,1003,5,12
Alnus viridis,1003,6,4
Alnus viridis,1003,7,3
Alnus viridis,1003,8,9
Alnus viridis,1003,9,21
Alnus viridis,1003,10,18
Alnus viridis,1003,11,135
Alnus viridis,1003,13,97
Alnus viridis,1003,14,614
Alnus viridis,1003,15,3135
Alnus viridis,1003,16,1107
Alnus viridis,1003,17,828
Alnus viridis,1003,18,1217
Alnus viridis,1003,19,472
Alnus viridis,1003,20,185
Alnus viridis,1003,21,853
Andromeda,1003,1,0
Andromeda,1003,2,0
Andromeda,1003,3,0
Andromeda,1003,4,0
Andromeda,1003,5,0
Andromeda,1003,6,0
Andromeda,1003,7,0
Andromeda,1003,8,0
Andromeda,1003,9,0
Andromeda,1003,10,0
Andromeda,1003,11,0
Andromeda,1003,13,0
Andromeda,1003,14,0
Andromeda,1003,15,0
Andromeda,1003,16,2
Andromeda,1003,17,1
Andromeda,1003,18,0
Andromeda,1003,19,0
Andromeda,1003,20,0
Andromeda,1003,21,0
Artemisia,1003,1,64
Artemisia,1003,2,51
Artemisia,1003,3,76
Artemisia,1003,4,155
Artemisia,1003,5,263
Artemisia,1003,6,149
Artemisia,1003,7,90
Artemisia,1003,8,32
Artemisia,1003,9,26
Artemisia,1003,10,53
Artemisia,1003,11,14
Artemisia,1003,13,5
Artemisia,1003,14,25
Artemisia,1003,15,80
Artemisia,1003,16,25
Artemisia,1003,17,22
Artemisia,1003,18,32
Artemisia,1003,19,16
Artemisia,1003,20,45
Artemisia,1003,21,53
Betula,1003,1,1200
Betula,1003,2,3569
Betula,1003,3,4711
Betula,1003,4,6978
Betula,1003,5,2803
Betula,1003,6,2314
Betula,1003,7,1257
Betula,1003,8,367
Betula,1003,9,326
Betula,1003,10,126
Betula,1003,11,234
Betula,1003,13,143
Betula,1003,14,1235
Betula,1003,15,4306
Betula,1003,16,1589
Betula,1003,17,1397
Betula,1003,18,1773
Betula,1003,19,1765
Betula,1003,20,2720
Betula,1003,21,1431
Dryas,1003,1,1
Dryas,1003,2,0
Dryas,1003,3,0
Dryas,1003,4,4
Dryas,1003,5,8
Dryas,1003,6,4
Dryas,1003,7,3
Dryas,1003,8,2
Dryas,1003,9,1
Dryas,1003,10,2
Dryas,1003,11,0
Dryas,1003,13,0
Dryas,1003,14,0
Dryas,1003,15,0
Dryas,1003,16,0
Dryas,1003,17,0
Dryas,1003,18,0
Dryas,1003,19,0
Dryas,1003,20,0
Dryas,1003,21,4
Empetrum,1003,1,4
Empetrum,1003,2,4
Empetrum,1003,3,5
Empetrum,1003,4,4
Empetrum,1003,5,0
Empetrum,1003,6,0
Empetrum,1003,7,0
Empetrum,1003,8,0
Empetrum,1003,9,0
Empetrum,1003,10,0
Empetrum,1003,11,0
Empetrum,1003,13,2
Empetrum,1003,14,4
Empetrum,1003,15,13
Empetrum,1003,16,1
Empetrum,1003,17,1
Empetrum,1003,18,5
Empetrum,1003,19,1
Empetrum,1003,20,1
Empetrum,1003,21,5
Linnaea borealis,1003,1,0
Linnaea borealis,1003,2,1
Linnaea borealis,1003,3,1
Linnaea borealis,1003,4,0
Linnaea borealis,1003,5,0
Linnaea borealis,1003,6,0
Linnaea borealis,1003,7,0
Linnaea borealis,1003,8,0
Linnaea borealis,1003,9,0
Linnaea borealis,1003,10,0
Linnaea borealis,1003,11,0
Linnaea borealis,1003,13,0
Linnaea borealis,1003,14,0
Linnaea borealis,1003,15,1
Linnaea borealis,1003,16,0
Linnaea borealis,1003,17,0
Linnaea borealis,1003,18,0
Linnaea borealis,1003,19,0
Linnaea borealis,1003,20,0
Linnaea borealis,1003,21,0
Myrica,1003,1,1
Myrica,1003,2,12
Myrica,1003,3,5
Myrica,1003,4,1
Myrica,1003,5,2
Myrica,1003,6,1
Myrica,1003,7,0
Myrica,1003,8,0
Myrica,1003,9,0
Myrica,1003,10,0
Myrica,1003,11,0
Myrica,1003,13,0
Myrica,1003,14,1
Myrica,1003,15,1
Myrica,1003,16,1
